antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Lux Soap', 'Nestle Water'})",frozenset({'Tapal Tea (250g)'}),0.0388,0.1996,0.0092,0.23711340206185566,1.1879428961014813,1.0,0.0014555199999999992,1.049172972972973,0.16459498091154165,0.04013961605584642,0.04686831841811052,0.14160279321529656
"frozenset({'Olpers Milk (Pack of 6)', 'Bread'})",frozenset({'Surf Excel'}),0.0338,0.2112,0.008,0.2366863905325444,1.1206741975972745,1.0,0.0008614400000000006,1.0333891472868215,0.11144690540260824,0.03375527426160338,0.03231033282523377,0.13728258920566613
"frozenset({'Pepsi 1L', 'Olpers Milk (Pack of 6)'})",frozenset({'Chicken'}),0.0372,0.198,0.0088,0.23655913978494628,1.1947431302270013,1.0,0.0014344000000000006,1.0505070422535212,0.16929788117989206,0.038869257950530034,0.04807872791140432,0.14050179211469535
"frozenset({'Dalda Cooking Oil (500ml)', 'Guard Rice (1kg)'})",frozenset({'Lays Chips'}),0.0356,0.206,0.0084,0.23595505617977527,1.145412894076579,1.0,0.0010664000000000003,1.0392058823529413,0.13163871936165597,0.03602058319039451,0.03772677100727366,0.13836587760445074
"frozenset({'Biscuits', 'Bread'})",frozenset({'Jam'}),0.0382,0.1984,0.009,0.2356020942408377,1.1875105556493837,1.0,0.0014211199999999997,1.0486684931506849,0.16417365587671262,0.03954305799648506,0.04640979820463785,0.14048249873332208
"frozenset({'Guard Rice (1kg)', 'Surf Excel'})",frozenset({'Nestle Water'}),0.034,0.2062,0.008,0.23529411764705882,1.1410965938266675,1.0,0.0009892,1.038046153846154,0.12800207039337475,0.034453057708871665,0.036651697716123484,0.13704570091858276
"frozenset({'Pepsi 1L', 'Eggs'})",frozenset({'Noodles'}),0.0408,0.2052,0.0096,0.2352941176470588,1.1466574934067193,1.0,0.0012278399999999991,1.039353846153846,0.13334028356964128,0.04060913705583756,0.03786376150862959,0.14103887168902646
"frozenset({'National Ketchup (1kg)', 'Tapal Tea (250g)'})",frozenset({'Surf Excel'}),0.04,0.2112,0.0094,0.23500000000000001,1.112689393939394,1.0,0.0009519999999999997,1.031111111111111,0.10549645390070918,0.03887510339123243,0.03017241379310347,0.1397537878787879
"frozenset({'Lux Soap', 'Lays Chips'})",frozenset({'Frozen Paratha'}),0.0366,0.197,0.0086,0.2349726775956284,1.1927547086072507,1.0,0.0013897999999999992,1.0496357142857142,0.16774408466139773,0.03822222222222222,0.047288515063049055,0.1393137499653269
"frozenset({'National Ketchup (1kg)', 'Nestle Water'})",frozenset({'Tapal Tea (250g)'}),0.0386,0.1996,0.009,0.233160621761658,1.168139387583457,1.0,0.0012954399999999993,1.0437648648648647,0.14971684811501737,0.03926701570680628,0.04192981229592454,0.13912540106118973
"frozenset({'Noodles', 'National Ketchup (1kg)'})",frozenset({'Thal Sugar (200ml)'}),0.043,0.1964,0.01,0.23255813953488375,1.184104580116516,1.0,0.001554800000000002,1.0471151515151516,0.1624660397074192,0.043591979075850044,0.04499519603644071,0.14173731823994695
"frozenset({'Nestle Water', 'Thal Sugar (200ml)'})",frozenset({'Dalda Cooking Oil (500ml)'}),0.0344,0.2026,0.008,0.23255813953488372,1.147868408365665,1.0,0.0010305599999999998,1.0390363636363635,0.13340927920463957,0.03493449781659389,0.03756977619122613,0.13602240639133129
"frozenset({'Surf Excel', 'Tapal Tea (250g)'})",frozenset({'Noodles'}),0.0396,0.2052,0.0092,0.2323232323232323,1.132179494752594,1.0,0.0010740799999999998,1.0353315789473683,0.12156166814551905,0.03904923599320883,0.034125858484187595,0.13857877015771752
"frozenset({'Dalda Cooking Oil (500ml)', 'Surf Excel'})",frozenset({'Frozen Paratha'}),0.0388,0.197,0.009,0.23195876288659792,1.1774556491705477,1.0,0.001356399999999999,1.0455167785234898,0.15679474730660736,0.03968253968253968,0.043535196620918946,0.1388220210372076
"frozenset({'Lux Soap', 'Noodles'})",frozenset({'Shan Biryani Masala'}),0.0354,0.2088,0.0082,0.23163841807909605,1.1093793969305366,1.0,0.0008084800000000003,1.0297235294117646,0.10221347911177643,0.03474576271186441,0.02886554357823058,0.1354552243652185
"frozenset({'Pepsi 1L', 'Shan Biryani Masala'})",frozenset({'Eggs'}),0.0406,0.1982,0.0094,0.23152709359605914,1.1681488072455053,1.0,0.0013530800000000013,1.0433679487179488,0.15003614847932453,0.04097646033129904,0.04156534496889392,0.13947696758511333
"frozenset({'Lays Chips', 'Thal Sugar (200ml)'})",frozenset({'Surf Excel'}),0.0372,0.2112,0.0086,0.23118279569892475,1.0946155099380908,1.0,0.0007433600000000002,1.0259916083916083,0.08977691036801579,0.03586321934945788,0.025333158847521235,0.13595124633431085
"frozenset({'Butter', 'Bread'})",frozenset({'Noodles'}),0.0364,0.2052,0.0084,0.23076923076923075,1.1246063877642825,1.0,0.0009307199999999995,1.03324,0.11498547114985466,0.03602058319039451,0.03217064767140257,0.13585245164192533
"frozenset({'Dalda Cooking Oil (500ml)', 'Frozen Paratha'})",frozenset({'Surf Excel'}),0.039,0.2112,0.009,0.23076923076923075,1.0926573426573425,1.0,0.0007631999999999986,1.02544,0.08824141519250765,0.0373134328358209,0.024808862537057247,0.13669143356643357
"frozenset({'Lays Chips', 'Tapal Tea (250g)'})",frozenset({'National Ketchup (1kg)'}),0.039,0.2048,0.009,0.23076923076923075,1.1268028846153846,1.0,0.0010127999999999995,1.03376,0.1171002428026361,0.0383304940374787,0.032657483361708685,0.13735727163461536
"frozenset({'Frozen Paratha', 'Surf Excel'})",frozenset({'Dalda Cooking Oil (500ml)'}),0.039,0.2026,0.009,0.23076923076923075,1.1390386513782367,1.0,0.0010986,1.0366199999999999,0.12702046479361778,0.03869303525365434,0.035326349096100766,0.137595869086491
"frozenset({'Pepsi 1L', 'Eggs'})",frozenset({'Shan Biryani Masala'}),0.0408,0.2088,0.0094,0.23039215686274508,1.1034107129441815,1.0,0.0008809600000000001,1.028056050955414,0.0977055347541391,0.03913405495420483,0.027290390372529158,0.13770565697543385
"frozenset({'Lays Chips', 'Eggs'})",frozenset({'Thal Sugar (200ml)'}),0.0356,0.1964,0.0082,0.2303370786516854,1.1727957161491112,1.0,0.0012081600000000007,1.0440934306569343,0.15277538922216272,0.036639857015192144,0.042231307431166515,0.13604430307329687
"frozenset({'Chicken', 'Frozen Paratha'})",frozenset({'Nestle Water'}),0.0392,0.2062,0.009,0.22959183673469385,1.1134424671905618,1.0,0.0009169599999999997,1.0303629139072847,0.10604126191137013,0.03807106598984771,0.029468174268951697,0.13661939072428195
"frozenset({'Noodles', 'Tapal Tea (250g)'})",frozenset({'Surf Excel'}),0.0402,0.2112,0.0092,0.2288557213930348,1.0835971656867178,1.0,0.0007097600000000003,1.0228954838709676,0.08037906447901287,0.0379851362510322,0.02238301393640316,0.13620816372682043
"frozenset({'National Ketchup (1kg)', 'Bread'})",frozenset({'Dalda Cooking Oil (500ml)'}),0.0368,0.2026,0.0084,0.22826086956521738,1.1266577964719515,1.0,0.0009443199999999994,1.033250704225352,0.11671412751146963,0.03636363636363636,0.0321806741475011,0.1348609382376926
"frozenset({'Frozen Paratha', 'Thal Sugar (200ml)'})",frozenset({'Shan Biryani Masala'}),0.0368,0.2088,0.0084,0.22826086956521738,1.0932033983008493,1.0,0.0007161599999999995,1.0252169014084507,0.08851447555766487,0.03541315345699831,0.024596650107706477,0.1342453773113443
"frozenset({'Frozen Paratha', 'Shan Biryani Masala'})",frozenset({'Thal Sugar (200ml)'}),0.0368,0.1964,0.0084,0.22826086956521738,1.162224386788276,1.0,0.00117248,1.0412845070422536,0.14491377946527448,0.037366548042704624,0.039647672430584105,0.13551536349951296
"frozenset({'Noodles', 'Lays Chips'})",frozenset({'Chicken'}),0.0368,0.198,0.0084,0.22826086956521738,1.152832674571805,1.0,0.0011135999999999993,1.039211267605634,0.13763644992880864,0.03710247349823321,0.03773175756261517,0.13534255599472989
"frozenset({'Butter', 'Lays Chips'})",frozenset({'National Ketchup (1kg)'}),0.036,0.2048,0.0082,0.2277777777777778,1.1121961805555556,1.0,0.000827200000000001,1.0297553956834533,0.10464527881793353,0.0352536543422184,0.028895595797004264,0.1339084201388889
"frozenset({'Butter', 'Lays Chips'})",frozenset({'Guard Rice (1kg)'}),0.036,0.1952,0.0082,0.2277777777777778,1.1668943533697633,1.0,0.0011728000000000008,1.0421870503597124,0.14836555004554206,0.036771300448430494,0.040479346145350134,0.13489298724954463
"frozenset({'Lux Soap', 'Frozen Paratha'})",frozenset({'Lays Chips'}),0.0378,0.206,0.0086,0.2275132275132275,1.1044331432680947,1.0,0.0008132,1.027849315068493,0.0982728533931446,0.036564625850340135,0.02709474497887596,0.13463040016438074
"frozenset({'Dalda Cooking Oil (500ml)', 'Chicken'})",frozenset({'Nestle Water'}),0.0378,0.2062,0.0086,0.2275132275132275,1.1033619181048862,1.0,0.0008056399999999998,1.027590410958904,0.09735924939455606,0.03653355989804588,0.026849618938306254,0.1346101540087961
"frozenset({'Lux Soap', 'Surf Excel'})",frozenset({'Pepsi 1L'}),0.0352,0.2052,0.008,0.22727272727272727,1.1075668970405812,1.0,0.0007769600000000002,1.0285647058823528,0.10066334991708127,0.034423407917383825,0.02777142334263623,0.13312954102427788
"frozenset({'Noodles', 'Pepsi 1L'})",frozenset({'Thal Sugar (200ml)'}),0.0388,0.1964,0.0088,0.2268041237113402,1.1548071472064165,1.0,0.0011796800000000007,1.0393226666666666,0.13946581924110021,0.03886925795053004,0.03783489759997538,0.1358053205114746
"frozenset({'Frozen Paratha', 'Eggs'})",frozenset({'Lux Soap'}),0.0344,0.1936,0.0078,0.22674418604651161,1.1711993080914855,1.0,0.0011401599999999994,1.0428631578947367,0.15138189620376855,0.035422343324250684,0.04110142118863048,0.13351672112242935
"frozenset({'National Ketchup (1kg)', 'Eggs'})",frozenset({'Pepsi 1L'}),0.0344,0.2052,0.0078,0.22674418604651161,1.1049911600707194,1.0,0.0007411199999999996,1.0278616541353383,0.0984003568924861,0.03364969801553063,0.027106424316194793,0.13237794097647218
"frozenset({'Frozen Paratha', 'Eggs'})",frozenset({'Pepsi 1L'}),0.0344,0.2052,0.0078,0.22674418604651161,1.1049911600707194,1.0,0.0007411199999999996,1.0278616541353383,0.0984003568924861,0.03364969801553063,0.027106424316194793,0.13237794097647218
"frozenset({'Jam', 'Tapal Tea (250g)'})",frozenset({'National Ketchup (1kg)'}),0.0336,0.2048,0.0076,0.2261904761904762,1.1044456845238095,1.0,0.00071872,1.0276430769230769,0.09785639595677935,0.03292894280762565,0.026899492191242682,0.13164992559523808
"frozenset({'Frozen Paratha', 'Nestle Water'})",frozenset({'Chicken'}),0.0398,0.198,0.009,0.22613065326633164,1.1420740063956143,1.0,0.0011195999999999984,1.0363506493506494,0.12955634242866054,0.03933566433566433,0.03507562751412921,0.13579259936043855
"frozenset({'Frozen Paratha', 'Bread'})",frozenset({'Jam'}),0.0398,0.1984,0.009,0.22613065326633164,1.1397714378343329,1.0,0.0011036799999999992,1.0358337662337662,0.12771413362956785,0.03926701570680628,0.03459412832626203,0.13574677824606904
"frozenset({'Lays Chips', 'Thal Sugar (200ml)'})",frozenset({'Guard Rice (1kg)'}),0.0372,0.1952,0.0084,0.22580645161290322,1.156795346377578,1.0,0.0011385599999999994,1.0395333333333334,0.1407798682414386,0.0375,0.03802988520489961,0.13441961924907456
"frozenset({'Noodles', 'Butter'})",frozenset({'Bread'}),0.0372,0.2058,0.0084,0.22580645161290322,1.097213078779899,1.0,0.0007442399999999993,1.0258416666666668,0.09202326547569581,0.03580562659846547,0.025190697069885682,0.13331138907175774
"frozenset({'Nestle Water', 'Eggs'})",frozenset({'Noodles'}),0.0346,0.2052,0.0078,0.2254335260115607,1.0986039279315825,1.0,0.0007000800000000005,1.0261223880597015,0.09297062995012038,0.03362068965517241,0.025457380487620408,0.13172261095899673
"frozenset({'Butter', 'Guard Rice (1kg)'})",frozenset({'Lays Chips'}),0.0364,0.206,0.0082,0.22527472527472528,1.0935666275472102,1.0,0.000701600000000001,1.0248794326241135,0.08879304235134518,0.03501280956447481,0.02427547263819306,0.13254027525872186
"frozenset({'Nestle Water', 'Shan Biryani Masala'})",frozenset({'Jam'}),0.0382,0.1984,0.0086,0.22513089005235604,1.1347323087316332,1.0,0.0010211200000000004,1.0344972972972974,0.12345070047923715,0.03771929824561404,0.033346918727989075,0.1342388321229522
"frozenset({'National Ketchup (1kg)', 'Tapal Tea (250g)'})",frozenset({'Nestle Water'}),0.04,0.2062,0.009,0.22499999999999998,1.0911736178467506,1.0,0.0007519999999999992,1.024258064516129,0.08703703703703695,0.03794266441821248,0.02368354749307128,0.134323472356935
"frozenset({'National Ketchup (1kg)', 'Tapal Tea (250g)'})",frozenset({'Lays Chips'}),0.04,0.206,0.009,0.22499999999999998,1.0922330097087378,1.0,0.0007600000000000003,1.0245161290322582,0.087962962962963,0.0379746835443038,0.023929471032745578,0.13434466019417474
"frozenset({'National Ketchup (1kg)', 'Surf Excel'})",frozenset({'Tapal Tea (250g)'}),0.0418,0.1996,0.0094,0.22488038277511965,1.1266552243242467,1.0,0.0010567200000000006,1.0326148148148149,0.11732104078125213,0.04051724137931034,0.03158468612583665,0.1359872855759366
"frozenset({'Pepsi 1L', 'Tapal Tea (250g)'})",frozenset({'Surf Excel'}),0.0356,0.2112,0.008,0.2247191011235955,1.0640108954715697,1.0,0.0004812800000000006,1.0174376811594201,0.06238075487349655,0.03350083752093803,0.017138819882854338,0.1312989445011917
"frozenset({'Pepsi 1L', 'Tapal Tea (250g)'})",frozenset({'Nestle Water'}),0.0356,0.2062,0.008,0.2247191011235955,1.0898113536546823,1.0,0.0006592800000000008,1.0238869565217392,0.08545209456656999,0.03421727972626177,0.023329681435620437,0.1317581926568511
"frozenset({'Biscuits', 'Tapal Tea (250g)'})",frozenset({'Eggs'}),0.0356,0.1982,0.008,0.2247191011235955,1.133799702944478,1.0,0.0009440800000000008,1.0342057971014493,0.12236623807548745,0.0354295837023915,0.033074458872032315,0.13254118527420947
"frozenset({'Noodles', 'Chicken'})",frozenset({'Lays Chips'}),0.0374,0.206,0.0084,0.2245989304812834,1.0902860702974924,1.0,0.0006955999999999993,1.0239862068965517,0.08602693103004751,0.035744680851063824,0.023424345694311604,0.1326878147552048
"frozenset({'Noodles', 'Chicken'})",frozenset({'Nestle Water'}),0.0374,0.2062,0.0084,0.2245989304812834,1.089228566834546,1.0,0.0006881199999999995,1.0237282758620692,0.08510185707360021,0.03571428571428571,0.023178294886978344,0.13266803944044772
"frozenset({'Noodles', 'Surf Excel'})",frozenset({'Tapal Tea (250g)'}),0.041,0.1996,0.0092,0.224390243902439,1.1241996187496943,1.0,0.001016399999999999,1.0319622641509434,0.11520152332592817,0.03975799481417459,0.03097231871868941,0.13524121413558823
"frozenset({'Nestle Water', 'Bread'})",frozenset({'Frozen Paratha'}),0.0428,0.197,0.0096,0.22429906542056074,1.1385739361449783,1.0,0.0011684,1.0351927710843374,0.1271503691321911,0.041702867072111204,0.03399634548015036,0.1365150149437829
"frozenset({'Chicken', 'Tapal Tea (250g)'})",frozenset({'Nestle Water'}),0.0348,0.2062,0.0078,0.22413793103448276,1.0869928760159202,1.0,0.0006242400000000007,1.02312,0.0829162549013358,0.03344768439108062,0.022597544765032458,0.1309826415599184
"frozenset({'Lux Soap', 'Lays Chips'})",frozenset({'Biscuits'}),0.0366,0.1972,0.0082,0.22404371584699456,1.1361243197109259,1.0,0.0009824800000000009,1.034594366197183,0.12436644607259865,0.036347517730496465,0.033437613162673865,0.1328129329742072
"frozenset({'Biscuits', 'Dalda Cooking Oil (500ml)'})",frozenset({'Shan Biryani Masala'}),0.034,0.2088,0.0076,0.22352941176470587,1.0705431597926525,1.0,0.0005007999999999992,1.0189696969696969,0.06821401329410472,0.03231292517006802,0.018616546719800117,0.12996393959882802
"frozenset({'Lux Soap', 'Bread'})",frozenset({'Butter'}),0.0358,0.1966,0.008,0.223463687150838,1.1366413385088403,1.0,0.000961720000000001,1.0345942446043166,0.12467848993984663,0.035650623885918005,0.03343749956539458,0.13207772353472724
"frozenset({'Olpers Milk (Pack of 6)', 'Nestle Water'})",frozenset({'Dalda Cooking Oil (500ml)'}),0.0376,0.2026,0.0084,0.22340425531914893,1.102686353993825,1.0,0.0007822399999999992,1.0267890410958904,0.09676206309622758,0.0362381363244176,0.026090112012978332,0.13243263111465836
"frozenset({'Pepsi 1L', 'Chicken'})",frozenset({'Guard Rice (1kg)'}),0.0394,0.1952,0.0088,0.22335025380710663,1.1442123658150953,1.0,0.0011091200000000008,1.036245751633987,0.1312058751159314,0.03897254207263065,0.03497794956151419,0.1342161105101107
"frozenset({'Pepsi 1L', 'Chicken'})",frozenset({'Olpers Milk (Pack of 6)'}),0.0394,0.196,0.0088,0.22335025380710663,1.139542111260748,1.0,0.0010776000000000006,1.0352156862745099,0.12747714496621437,0.03883495145631068,0.03401772861580425,0.13412410649539006
"frozenset({'Pepsi 1L', 'Chicken'})",frozenset({'Lays Chips'}),0.0394,0.206,0.0088,0.22335025380710663,1.084224533044207,1.0,0.0006836000000000012,1.0223398692810457,0.08086801809475153,0.03719357565511412,0.021851705046733803,0.1330343502045242
"frozenset({'Shan Biryani Masala', 'Thal Sugar (200ml)'})",frozenset({'Jam'}),0.0394,0.1984,0.0088,0.22335025380710663,1.1257573276567876,1.0,0.000983040000000001,1.0321254901960784,0.11629095451706331,0.03842794759825328,0.031125566126630037,0.13385254625839202
"frozenset({'Noodles', 'Thal Sugar (200ml)'})",frozenset({'Pepsi 1L'}),0.0394,0.2052,0.0088,0.22335025380710663,1.0884515292743988,1.0,0.0007151200000000014,1.0233699346405227,0.08459674824446858,0.03731976251060221,0.02283625290275118,0.13311762203025898
"frozenset({'Noodles', 'Olpers Milk (Pack of 6)'})",frozenset({'Chicken'}),0.0368,0.198,0.0082,0.22282608695652176,1.1253842775581906,1.0,0.0009136000000000005,1.031944055944056,0.11567133943764692,0.03618711385701677,0.03095522064404208,0.1321201141853316
"frozenset({'Biscuits', 'Eggs'})",frozenset({'Pepsi 1L'}),0.0368,0.2052,0.0082,0.22282608695652176,1.08589710992457,1.0,0.0006486400000000007,1.0226797202797202,0.08212462523296336,0.03507271171941831,0.0221767576201834,0.13139355030087296
"frozenset({'Lux Soap', 'Shan Biryani Masala'})",frozenset({'Noodles'}),0.0368,0.2052,0.0082,0.22282608695652176,1.08589710992457,1.0,0.0006486400000000007,1.0226797202797202,0.08212462523296336,0.03507271171941831,0.0221767576201834,0.13139355030087296
"frozenset({'Jam', 'Nestle Water'})",frozenset({'Shan Biryani Masala'}),0.0386,0.2088,0.0086,0.22279792746113988,1.0670398824767235,1.0,0.0005403199999999986,1.0180106666666666,0.06535043371826922,0.036013400335008376,0.017692021563624708,0.1319928334623707
"frozenset({'Butter', 'Tapal Tea (250g)'})",frozenset({'Surf Excel'}),0.036,0.2112,0.008,0.22222222222222224,1.0521885521885523,1.0,0.00039680000000000097,1.0141714285714285,0.05145228215767647,0.033444816053511704,0.013973405454135699,0.13005050505050506
"frozenset({'Frozen Paratha', 'Tapal Tea (250g)'})",frozenset({'Surf Excel'}),0.0324,0.2112,0.0072,0.22222222222222224,1.0521885521885523,1.0,0.00035711999999999983,1.0141714285714285,0.051260851591566736,0.030456852791878177,0.013973405454135699,0.12815656565656566
"frozenset({'Nestle Water', 'Tapal Tea (250g)'})",frozenset({'Lux Soap'}),0.0414,0.1936,0.0092,0.2222222222222222,1.147842056932966,1.0,0.0011849600000000005,1.0368,0.13436261214270817,0.04074402125775022,0.03549382716049382,0.1348714416896235
"frozenset({'Chicken', 'Olpers Milk (Pack of 6)'})",frozenset({'Pepsi 1L'}),0.0396,0.2052,0.0088,0.2222222222222222,1.0829542993285683,1.0,0.0006740800000000005,1.0218857142857143,0.07975843398583929,0.03728813559322034,0.021416988201084824,0.13255360623781676
"frozenset({'Biscuits', 'National Ketchup (1kg)'})",frozenset({'Lays Chips'}),0.0388,0.206,0.0086,0.22164948453608246,1.0759683715343809,1.0,0.0006072000000000004,1.0201059602649007,0.07345469326133036,0.03640982218458933,0.019709678257030825,0.13169852867580822
"frozenset({'Biscuits', 'Lays Chips'})",frozenset({'National Ketchup (1kg)'}),0.0388,0.2048,0.0086,0.22164948453608246,1.08227287371134,1.0,0.0006537599999999998,1.0216476821192053,0.07908718752721886,0.03659574468085106,0.021188989607749564,0.13182083601804123
