customer_id,total_spent,purchase_frequency,avg_basket_size,age,gender,loyalty_tier,cluster,customer_segment
C0058,7239.1,25,1.8,31,Male,Bronze,1,Mid Value
C0059,9346.38,19,2.47,38,Female,Gold,0,Low Value
C0060,4147.09,16,1.81,44,Male,Bronze,2,High Value
C0061,5667.95,24,2.08,30,Female,Silver,1,Mid Value
C0062,5716.76,21,2.1,33,Female,Silver,2,High Value
C0063,5879.81,16,2.25,23,Female,Silver,0,Low Value
C0064,9179.61,21,2.19,23,Female,Bronze,1,Mid Value
C0065,8091.33,22,2.18,43,Male,Bronze,1,Mid Value
C0066,7936.73,25,2.04,48,Male,Silver,1,Mid Value
C0067,5696.91,23,2.65,34,Female,Gold,0,Low Value
C0068,13498.03,23,2.39,45,Male,Bronze,1,Mid Value
C0069,5414.45,25,2.12,38,Male,Gold,1,Mid Value
C0070,8881.68,17,2.06,28,Male,Bronze,0,Low Value
C0071,8685.91,24,2.21,38,Male,Gold,1,Mid Value
C0072,15472.32,22,2.36,50,Male,Bronze,1,Mid Value
C0073,10803.09,26,2.04,34,Male,Gold,1,Mid Value
C0074,5642.87,20,1.9,50,Male,Bronze,2,High Value
C0075,5630.75,13,2.08,18,Male,Bronze,2,High Value
C0076,5668.6,23,2.13,43,Male,Silver,1,Mid Value
C0077,3772.82,15,2.0,35,Female,Gold,2,High Value
C0078,6614.51,14,2.07,32,Female,Silver,2,High Value
C0079,10251.69,26,2.38,35,Male,Bronze,1,Mid Value
C0080,13037.81,20,1.65,18,Male,Silver,1,Mid Value
C0081,8163.63,30,2.07,32,Male,Bronze,1,Mid Value
C0082,5871.27,19,2.0,38,Female,Bronze,2,High Value
C0083,8709.13,22,1.91,49,Female,Bronze,1,Mid Value
C0084,6760.75,16,2.0,29,Female,Bronze,2,High Value
C0085,4736.47,21,1.76,26,Female,Silver,2,High Value
C0086,7105.43,29,1.97,29,Male,Bronze,1,Mid Value
C0087,4280.99,16,1.63,44,Female,Bronze,2,High Value
C0088,9034.17,25,2.04,38,Male,Gold,1,Mid Value
C0089,6014.55,21,2.1,29,Female,Silver,2,High Value
C0090,2599.92,11,1.64,40,Female,Bronze,2,High Value
C0091,8095.91,26,2.27,35,Female,Bronze,1,Mid Value
C0092,5493.14,22,2.36,44,Female,Bronze,0,Low Value
C0093,8230.5,29,2.21,27,Male,Bronze,1,Mid Value
C0094,6186.94,31,1.71,31,Female,Silver,1,Mid Value
C0095,6995.82,17,1.76,31,Female,Bronze,2,High Value
C0096,2329.74,11,1.91,20,Female,Bronze,2,High Value
C0097,7269.35,24,2.46,37,Male,Bronze,1,Mid Value
C0098,8267.55,23,2.13,37,Female,Bronze,1,Mid Value
C0099,6006.5,23,1.74,35,Male,Bronze,2,High Value
C0100,5729.44,20,2.0,32,Male,Bronze,2,High Value
C0101,7268.03,16,2.13,20,Female,Gold,0,Low Value
C0102,6400.63,22,1.68,30,Male,Bronze,2,High Value
C0103,3851.92,13,2.46,31,Female,Silver,0,Low Value
C0104,3633.83,15,1.73,26,Female,Bronze,2,High Value
C0105,4669.49,22,2.0,33,Male,Silver,2,High Value
C0106,9851.41,21,1.71,39,Female,Bronze,1,Mid Value
C0107,5858.66,25,1.8,53,Female,Bronze,2,High Value
C0108,5952.37,20,1.55,36,Male,Bronze,2,High Value
C0109,8475.38,14,2.07,37,Male,Bronze,0,Low Value
C0110,6003.22,14,1.79,34,Female,Silver,2,High Value
C0111,9310.86,24,2.5,18,Female,Silver,1,Mid Value
C0112,6212.14,17,1.82,34,Female,Bronze,2,High Value
C0113,4158.93,18,2.0,35,Female,Silver,2,High Value
C0114,5508.61,22,1.95,59,Male,Bronze,2,High Value
C0115,4702.2,18,2.5,33,Male,Silver,0,Low Value
C0116,4119.04,13,2.0,38,Female,Gold,2,High Value
C0117,4883.37,23,2.22,34,Male,Silver,0,Low Value
C0118,4548.4,15,1.93,23,Male,Bronze,2,High Value
C0119,3966.84,19,1.95,46,Female,Bronze,2,High Value
C0120,6968.95,23,2.39,42,Female,Silver,0,Low Value
C0121,3732.79,18,1.72,42,Female,Gold,2,High Value
C0122,8506.73,21,2.48,25,Female,Gold,0,Low Value
C0123,5531.84,19,2.32,49,Male,Silver,0,Low Value
C0124,4697.66,21,2.0,20,Male,Silver,2,High Value
C0125,5158.91,19,2.05,40,Male,Bronze,2,High Value
C0126,8407.31,25,1.84,56,Male,Bronze,1,Mid Value
C0127,2096.38,13,2.08,25,Female,Gold,2,High Value
C0128,4164.29,21,1.76,29,Male,Silver,2,High Value
C0129,5378.97,14,1.93,35,Female,Gold,2,High Value
C0130,4179.97,18,2.0,29,Male,Silver,2,High Value
C0131,10847.98,21,2.1,19,Male,Silver,1,Mid Value
C0132,2645.49,14,1.86,35,Female,Silver,2,High Value
C0133,10910.6,28,2.21,24,Female,Silver,1,Mid Value
C0134,5336.91,19,2.16,39,Female,Bronze,0,Low Value
C0135,9616.12,24,1.96,25,Female,Silver,1,Mid Value
C0136,3872.05,16,1.88,50,Male,Silver,2,High Value
C0137,3796.55,12,2.33,27,Female,Silver,0,Low Value
C0138,6657.02,21,2.43,31,Male,Silver,0,Low Value
C0139,5517.04,19,1.95,43,Female,Bronze,2,High Value
C0140,4295.03,14,2.21,22,Male,Bronze,0,Low Value
C0141,10609.12,24,1.79,37,Male,Silver,1,Mid Value
C0142,4907.98,19,1.95,48,Male,Silver,2,High Value
C0143,5864.21,17,1.65,18,Female,Bronze,2,High Value
C0144,9828.27,22,1.95,36,Female,Bronze,1,Mid Value
C0145,5276.26,17,2.29,37,Female,Bronze,0,Low Value
C0146,4149.39,17,1.76,42,Male,Bronze,2,High Value
C0147,6414.29,16,1.88,22,Male,Bronze,2,High Value
C0148,3706.02,16,2.06,21,Female,Bronze,2,High Value
C0149,5024.68,21,1.9,40,Male,Bronze,2,High Value
C0150,5251.14,22,2.32,37,Female,Bronze,0,Low Value
C0151,9484.04,24,2.46,37,Male,Bronze,1,Mid Value
C0152,4290.92,16,1.88,38,Female,Bronze,2,High Value
C0153,5881.5,22,2.27,28,Male,Silver,0,Low Value
C0154,6464.02,22,2.36,37,Female,Silver,0,Low Value
C0155,16072.81,23,2.3,37,Male,Bronze,1,Mid Value
C0156,4609.23,22,1.86,27,Female,Bronze,2,High Value
C0157,8430.57,19,2.53,53,Female,Bronze,0,Low Value
C0158,3417.32,13,1.77,39,Female,Bronze,2,High Value
C0159,5060.89,23,2.13,23,Female,Gold,2,High Value
C0160,5011.6,15,2.27,41,Male,Silver,0,Low Value
C0161,9152.47,27,2.11,25,Male,Bronze,1,Mid Value
C0162,13997.18,21,2.76,42,Male,Bronze,1,Mid Value
C0163,13357.18,24,2.13,46,Female,Silver,1,Mid Value
C0164,10191.94,23,2.39,26,Female,Silver,1,Mid Value
C0165,4280.65,20,1.8,44,Male,Bronze,2,High Value
C0166,7284.67,25,2.04,39,Male,Bronze,1,Mid Value
C0167,5133.88,20,1.55,43,Female,Bronze,2,High Value
C0168,5573.22,22,1.91,53,Female,Bronze,2,High Value
C0169,4032.78,17,1.71,32,Female,Silver,2,High Value
C0170,4771.47,23,1.83,27,Female,Gold,2,High Value
C0171,3769.61,12,2.42,26,Male,Silver,0,Low Value
C0172,3640.28,14,2.21,26,Female,Bronze,0,Low Value
C0173,3913.75,18,1.83,34,Female,Bronze,2,High Value
C0174,6341.51,12,2.92,38,Female,Bronze,0,Low Value
C0175,7934.39,22,2.23,37,Female,Gold,1,Mid Value
C0176,5570.19,16,2.19,43,Male,Bronze,0,Low Value
C0177,2374.21,14,2.57,35,Male,Gold,0,Low Value
C0178,4528.92,15,2.0,49,Female,Bronze,2,High Value
C0179,4760.33,14,2.79,32,Female,Bronze,0,Low Value
C0180,17210.39,15,2.27,62,Male,Bronze,1,Mid Value
C0181,4094.7,20,1.75,41,Male,Bronze,2,High Value
C0182,4851.56,19,2.21,26,Male,Bronze,0,Low Value
C0183,8055.36,18,2.28,24,Male,Silver,0,Low Value
C0184,4680.26,17,2.41,39,Female,Bronze,0,Low Value
C0185,4196.06,18,1.94,32,Female,Bronze,2,High Value
C0186,10245.52,19,2.16,42,Female,Silver,1,Mid Value
C0187,3701.19,18,2.44,39,Male,Gold,0,Low Value
C0188,2554.43,12,1.83,34,Female,Bronze,2,High Value
C0189,5536.22,24,2.17,26,Female,Bronze,1,Mid Value
C0190,8706.04,26,2.12,19,Female,Bronze,1,Mid Value
C0191,10164.48,25,2.04,30,Female,Bronze,1,Mid Value
C0192,11829.82,24,2.08,43,Female,Bronze,1,Mid Value
C0193,4258.75,16,2.25,37,Female,Gold,0,Low Value
C0194,6050.66,19,2.58,22,Male,Bronze,0,Low Value
C0195,4012.66,14,2.57,36,Female,Bronze,0,Low Value
C0196,7201.61,25,1.8,38,Male,Bronze,1,Mid Value
C0197,8182.47,23,1.96,26,Female,Bronze,1,Mid Value
C0198,4497.32,23,1.7,36,Female,Silver,2,High Value
C0199,10929.0,19,2.26,35,Female,Bronze,1,Mid Value
C0200,2618.55,15,1.67,23,Female,Gold,2,High Value
C0201,11491.06,24,2.25,38,Male,Bronze,1,Mid Value
C0202,9263.74,23,2.17,40,Male,Bronze,1,Mid Value
C0203,6291.43,24,2.04,45,Female,Bronze,1,Mid Value
C0204,6895.22,24,2.17,45,Female,Bronze,1,Mid Value
C0205,6348.98,27,1.85,21,Female,Gold,1,Mid Value
C0206,10453.09,30,2.07,25,Male,Bronze,1,Mid Value
C0207,5497.88,14,2.64,40,Female,Silver,0,Low Value
C0208,5445.83,22,2.23,40,Male,Gold,0,Low Value
C0209,5503.89,18,2.22,40,Female,Silver,0,Low Value
C0210,6759.15,18,2.11,70,Male,Bronze,0,Low Value
C0211,6933.39,25,1.92,40,Female,Bronze,1,Mid Value
C0212,5194.98,18,2.17,46,Female,Silver,0,Low Value
C0213,5251.31,14,1.86,44,Male,Gold,2,High Value
C0214,4690.5,19,2.16,41,Female,Silver,0,Low Value
C0215,9140.57,29,2.17,31,Female,Silver,1,Mid Value
C0216,8602.77,23,2.22,42,Female,Bronze,1,Mid Value
C0217,6285.16,18,2.17,27,Male,Silver,0,Low Value
C0218,8849.16,26,2.23,32,Male,Bronze,1,Mid Value
C0219,11308.3,25,2.36,30,Female,Silver,1,Mid Value
C0220,8087.04,24,2.25,35,Female,Silver,1,Mid Value
C0221,5677.13,21,1.95,58,Male,Silver,2,High Value
C0222,6066.26,24,1.71,18,Male,Bronze,2,High Value
C0223,13615.38,27,2.48,41,Female,Bronze,1,Mid Value
C0224,6025.39,19,1.95,18,Female,Silver,2,High Value
C0225,8972.1,18,2.0,30,Female,Bronze,1,Mid Value
C0226,3787.12,16,2.13,45,Female,Bronze,2,High Value
C0227,5545.28,19,2.11,35,Female,Bronze,2,High Value
C0228,5325.27,23,1.74,24,Male,Bronze,2,High Value
C0229,7827.14,22,2.09,27,Male,Silver,1,Mid Value
C0230,5356.21,16,1.75,41,Female,Silver,2,High Value
C0231,12840.03,23,2.39,27,Female,Bronze,1,Mid Value
C0232,6034.49,28,2.0,37,Female,Gold,1,Mid Value
C0233,8652.88,32,2.22,35,Female,Gold,1,Mid Value
C0234,5421.79,17,1.94,28,Female,Bronze,2,High Value
C0235,4912.81,16,1.75,56,Male,Bronze,2,High Value
C0236,4542.33,15,2.13,41,Male,Gold,2,High Value
C0237,9837.64,15,2.13,18,Male,Bronze,0,Low Value
C0238,3389.64,18,1.89,36,Male,Gold,2,High Value
C0239,7451.42,20,2.45,28,Male,Bronze,0,Low Value
C0240,6042.07,20,2.45,43,Male,Bronze,0,Low Value
C0241,8070.57,17,2.12,27,Male,Bronze,0,Low Value
C0242,7088.14,19,1.89,33,Male,Bronze,2,High Value
C0243,7511.19,24,2.46,40,Male,Bronze,1,Mid Value
C0244,11604.4,33,2.21,43,Male,Gold,1,Mid Value
C0245,7747.21,21,1.81,22,Male,Silver,2,High Value
C0246,9057.44,17,2.24,31,Male,Bronze,0,Low Value
C0247,3667.92,18,1.94,30,Male,Silver,2,High Value
C0248,5935.29,23,2.22,28,Female,Bronze,0,Low Value
C0249,4928.77,21,2.0,52,Female,Bronze,2,High Value
C0250,8093.79,16,2.75,39,Female,Silver,0,Low Value
C0251,7227.38,13,2.85,22,Male,Bronze,0,Low Value
C0252,5386.05,18,1.94,44,Female,Bronze,2,High Value
C0253,4904.66,21,2.14,56,Female,Gold,2,High Value
C0254,4836.6,19,2.05,45,Female,Bronze,2,High Value
C0255,6718.67,17,2.65,19,Female,Bronze,0,Low Value
C0256,5399.24,19,2.0,30,Male,Bronze,2,High Value
C0257,4976.98,11,2.36,47,Male,Silver,0,Low Value
C0258,11877.57,18,2.78,27,Female,Bronze,0,Low Value
C0259,9917.56,29,2.0,39,Male,Bronze,1,Mid Value
C0260,4178.4,18,1.78,42,Female,Silver,2,High Value
C0261,6629.69,13,2.77,25,Female,Bronze,0,Low Value
C0262,5086.14,20,2.25,34,Female,Silver,0,Low Value
C0263,5001.03,25,1.84,18,Female,Silver,2,High Value
C0264,4156.68,19,2.0,24,Female,Bronze,2,High Value
C0265,8628.59,20,1.9,32,Male,Bronze,1,Mid Value
C0266,9880.77,18,1.94,22,Male,Bronze,1,Mid Value
C0267,11244.06,23,2.0,51,Female,Bronze,1,Mid Value
C0268,7517.95,19,2.63,20,Female,Bronze,0,Low Value
C0269,7635.92,21,2.0,30,Male,Silver,1,Mid Value
C0270,3740.21,13,1.85,36,Female,Bronze,2,High Value
C0271,5409.59,19,1.79,49,Male,Bronze,2,High Value
C0272,4622.14,12,1.58,20,Female,Bronze,2,High Value
C0273,3231.91,16,1.81,46,Male,Gold,2,High Value
C0274,13659.71,30,2.3,35,Male,Bronze,1,Mid Value
C0275,5509.68,23,1.7,25,Female,Bronze,2,High Value
C0276,7247.5,24,2.38,39,Male,Silver,1,Mid Value
C0277,5958.52,19,2.05,36,Female,Silver,2,High Value
C0278,6581.35,17,2.06,28,Female,Silver,2,High Value
C0279,4792.7,17,1.71,35,Female,Silver,2,High Value
C0280,5769.28,24,1.75,31,Female,Gold,2,High Value
C0281,5854.08,17,2.59,36,Male,Silver,0,Low Value
C0282,7378.54,23,1.96,41,Female,Bronze,1,Mid Value
C0283,3983.28,18,1.67,50,Female,Bronze,2,High Value
C0284,8414.31,25,2.4,22,Female,Silver,1,Mid Value
C0285,5076.74,20,1.9,56,Male,Bronze,2,High Value
C0286,4186.37,21,1.76,18,Female,Bronze,2,High Value
C0287,3215.66,16,1.69,33,Female,Bronze,2,High Value
C0288,3272.05,14,1.93,40,Male,Silver,2,High Value
C0289,3914.08,19,1.95,37,Female,Gold,2,High Value
C0290,7551.51,16,2.38,28,Female,Bronze,0,Low Value
C0291,5264.55,21,1.95,32,Female,Bronze,2,High Value
C0292,8112.15,17,2.0,30,Female,Bronze,2,High Value
C0293,9349.98,22,2.27,29,Female,Bronze,1,Mid Value
C0294,7491.79,24,2.25,43,Female,Silver,1,Mid Value
C0295,9735.9,26,2.46,38,Male,Silver,1,Mid Value
C0296,11811.74,22,2.23,28,Male,Silver,1,Mid Value
C0297,3178.75,14,2.29,43,Female,Bronze,0,Low Value
C0298,6092.93,16,1.63,38,Male,Bronze,2,High Value
C0299,5733.35,15,2.53,43,Male,Bronze,0,Low Value
C0300,4446.4,16,2.5,41,Female,Silver,0,Low Value
C0301,4786.94,16,1.94,26,Female,Bronze,2,High Value
C0302,4888.48,12,1.92,29,Female,Silver,2,High Value
C0303,3036.22,14,1.57,42,Male,Silver,2,High Value
C0304,8691.53,26,1.81,41,Female,Bronze,1,Mid Value
C0305,4343.87,18,2.06,34,Male,Silver,2,High Value
C0306,3972.96,12,1.58,36,Female,Silver,2,High Value
C0307,6258.82,24,1.96,47,Female,Bronze,1,Mid Value
C0308,7281.9,27,2.0,29,Male,Bronze,1,Mid Value
C0309,5403.35,22,2.32,40,Male,Bronze,0,Low Value
C0310,11561.46,27,2.56,32,Male,Silver,1,Mid Value
C0311,4998.06,26,1.81,32,Male,Bronze,2,High Value
C0312,5948.44,14,2.64,45,Male,Bronze,0,Low Value
C0313,11676.75,27,2.07,43,Female,Silver,1,Mid Value
C0314,4405.84,21,1.57,43,Female,Bronze,2,High Value
C0315,7146.43,22,2.23,48,Female,Gold,1,Mid Value
C0316,7847.0,21,2.33,35,Female,Bronze,0,Low Value
C0317,6204.41,21,2.05,41,Female,Silver,2,High Value
C0318,6303.45,18,2.06,31,Female,Bronze,2,High Value
C0319,3931.79,10,2.7,38,Male,Bronze,0,Low Value
C0320,12319.9,21,2.1,33,Male,Bronze,1,Mid Value
C0321,6220.36,19,2.63,35,Female,Bronze,0,Low Value
C0322,5314.16,19,2.21,40,Female,Bronze,0,Low Value
C0323,5200.89,15,1.73,26,Female,Bronze,2,High Value
C0324,4635.69,16,2.25,55,Male,Silver,0,Low Value
C0325,7971.22,18,2.28,24,Female,Bronze,0,Low Value
C0326,4118.3,23,1.83,22,Female,Silver,2,High Value
C0327,13395.71,23,2.26,46,Male,Silver,1,Mid Value
C0328,6687.49,20,2.2,42,Female,Bronze,0,Low Value
C0329,7169.54,24,1.92,41,Male,Silver,1,Mid Value
C0330,6179.03,26,2.0,41,Female,Gold,1,Mid Value
C0331,8162.28,28,2.07,34,Male,Bronze,1,Mid Value
C0332,8463.04,26,2.04,26,Female,Bronze,1,Mid Value
C0333,5158.09,20,2.45,35,Male,Bronze,0,Low Value
C0334,2149.7,10,1.5,28,Male,Silver,2,High Value
C0335,4238.45,20,1.75,44,Female,Silver,2,High Value
C0336,6422.5,22,2.09,33,Female,Bronze,1,Mid Value
C0337,9002.74,16,2.19,26,Female,Bronze,0,Low Value
C0338,13517.41,24,2.46,31,Male,Bronze,1,Mid Value
C0339,3936.05,18,2.0,39,Male,Bronze,2,High Value
C0340,10524.26,23,2.52,29,Male,Gold,1,Mid Value
C0341,5749.28,21,2.19,26,Female,Bronze,0,Low Value
C0342,5533.64,22,2.0,37,Male,Silver,2,High Value
C0343,4650.86,19,2.0,37,Female,Bronze,2,High Value
C0344,11568.48,21,2.19,29,Female,Gold,1,Mid Value
C0345,7189.52,17,2.53,30,Female,Bronze,0,Low Value
C0346,7028.18,21,2.33,37,Male,Silver,0,Low Value
C0347,3212.92,9,2.56,20,Male,Bronze,0,Low Value
C0348,4048.28,19,1.89,20,Female,Silver,2,High Value
C0349,7750.22,15,2.2,27,Female,Bronze,0,Low Value
C0350,8643.61,25,2.16,32,Female,Silver,1,Mid Value
C0351,6225.97,28,1.89,38,Male,Bronze,1,Mid Value
C0352,3023.51,16,1.81,49,Male,Silver,2,High Value
C0353,9761.81,27,2.19,43,Female,Bronze,1,Mid Value
C0354,7382.51,25,2.16,33,Female,Bronze,1,Mid Value
C0355,5928.92,20,1.8,34,Male,Bronze,2,High Value
C0356,7869.94,18,2.61,24,Male,Bronze,0,Low Value
C0357,8707.44,24,2.0,34,Female,Bronze,1,Mid Value
C0358,8209.34,27,2.07,32,Male,Gold,1,Mid Value
C0359,7350.9,20,2.3,38,Male,Bronze,0,Low Value
C0360,4431.25,17,2.35,26,Female,Bronze,0,Low Value
C0361,4947.65,13,1.92,40,Male,Bronze,2,High Value
C0362,6085.17,29,1.72,50,Male,Bronze,1,Mid Value
C0363,9847.39,18,1.72,33,Female,Silver,2,High Value
C0364,3571.66,14,2.0,39,Male,Bronze,2,High Value
C0365,6337.31,23,1.83,41,Male,Bronze,2,High Value
C0366,4516.78,17,2.18,30,Female,Silver,0,Low Value
C0367,8911.33,28,2.29,37,Male,Bronze,1,Mid Value
C0368,6319.38,21,2.38,35,Female,Bronze,0,Low Value
C0369,4022.58,14,2.21,35,Male,Bronze,0,Low Value
C0370,4972.97,21,1.9,27,Female,Silver,2,High Value
C0371,7297.5,19,2.26,35,Male,Gold,0,Low Value
C0372,4024.89,14,1.79,39,Male,Bronze,2,High Value
C0373,3081.34,16,1.75,49,Male,Gold,2,High Value
C0374,5822.07,23,2.3,44,Female,Silver,0,Low Value
C0375,3413.72,13,2.08,56,Female,Bronze,2,High Value
C0376,8132.99,18,2.28,27,Male,Silver,0,Low Value
C0377,12872.43,26,2.58,43,Female,Silver,1,Mid Value
C0378,8747.54,27,2.04,36,Male,Bronze,1,Mid Value
C0379,8018.3,21,2.52,56,Female,Silver,0,Low Value
C0380,6518.27,26,2.23,26,Female,Silver,1,Mid Value
C0381,6044.86,23,2.17,26,Female,Silver,1,Mid Value
C0382,8227.68,22,2.5,29,Male,Bronze,0,Low Value
C0383,5252.38,22,1.73,18,Female,Silver,2,High Value
C0384,8015.94,18,2.06,29,Female,Silver,0,Low Value
C0385,8768.16,21,2.0,27,Male,Bronze,1,Mid Value
C0386,3082.35,10,2.7,36,Female,Bronze,0,Low Value
C0387,4929.62,20,2.0,38,Female,Gold,2,High Value
C0388,5913.19,22,2.18,53,Male,Silver,0,Low Value
C0389,13586.42,21,2.52,44,Female,Silver,1,Mid Value
C0390,10010.45,26,2.35,29,Female,Bronze,1,Mid Value
C0391,8145.97,30,2.03,26,Male,Bronze,1,Mid Value
C0392,6576.26,25,2.36,39,Female,Bronze,1,Mid Value
C0393,11774.96,25,1.92,21,Male,Silver,1,Mid Value
C0394,11357.39,28,1.96,53,Female,Bronze,1,Mid Value
C0395,6876.55,24,2.38,46,Male,Bronze,1,Mid Value
C0396,7641.73,29,1.76,30,Female,Gold,1,Mid Value
C0397,2926.35,15,1.73,18,Male,Bronze,2,High Value
C0398,4231.64,13,1.85,48,Female,Bronze,2,High Value
C0399,5398.66,20,1.6,33,Female,Bronze,2,High Value
C0400,12487.76,27,2.15,47,Female,Bronze,1,Mid Value
C0401,9751.05,25,2.24,19,Male,Bronze,1,Mid Value
C0402,6731.3,21,2.57,29,Female,Silver,0,Low Value
C0403,4925.48,14,1.86,35,Female,Silver,2,High Value
C0404,6438.05,15,1.73,35,Female,Bronze,2,High Value
C0405,6413.26,24,2.29,30,Male,Gold,1,Mid Value
C0406,11930.25,22,2.64,41,Male,Bronze,1,Mid Value
C0407,16429.92,29,2.48,24,Female,Bronze,1,Mid Value
C0408,4392.9,18,1.94,33,Male,Bronze,2,High Value
C0409,4095.04,17,1.82,36,Male,Bronze,2,High Value
C0410,4103.6,14,1.71,40,Female,Bronze,2,High Value
C0411,5905.33,22,2.36,42,Female,Bronze,0,Low Value
C0412,3537.22,13,1.92,23,Male,Bronze,2,High Value
C0413,5790.91,19,2.32,19,Female,Gold,0,Low Value
C0414,8327.87,29,1.97,47,Female,Gold,1,Mid Value
C0415,4341.41,23,1.91,38,Female,Silver,2,High Value
C0416,4100.82,19,2.0,27,Female,Gold,2,High Value
C0417,4631.16,15,2.33,50,Female,Silver,0,Low Value
C0418,3461.58,14,2.14,36,Female,Silver,2,High Value
C0419,7605.13,16,2.31,46,Female,Bronze,0,Low Value
C0420,3875.71,13,2.0,35,Female,Bronze,2,High Value
C0421,5471.14,21,1.81,55,Female,Bronze,2,High Value
C0422,4648.32,22,2.05,52,Male,Gold,2,High Value
C0423,5137.56,20,2.1,32,Male,Bronze,2,High Value
C0424,7546.66,20,2.3,44,Female,Gold,0,Low Value
C0425,4375.53,20,1.75,41,Male,Silver,2,High Value
C0426,6527.54,17,2.12,48,Female,Bronze,0,Low Value
C0427,5389.66,22,1.73,25,Male,Silver,2,High Value
C0428,6500.09,19,2.42,41,Male,Bronze,0,Low Value
C0429,6397.55,18,2.44,45,Male,Gold,0,Low Value
C0430,6519.75,16,1.81,18,Female,Bronze,2,High Value
C0431,8506.14,33,2.33,23,Male,Gold,1,Mid Value
C0432,22002.4,18,2.67,18,Female,Bronze,1,Mid Value
C0433,7167.92,22,2.36,32,Male,Bronze,0,Low Value
C0434,4956.41,18,2.17,42,Female,Bronze,0,Low Value
C0435,3178.57,12,1.67,50,Female,Silver,2,High Value
C0436,5650.37,18,2.39,35,Female,Bronze,0,Low Value
C0437,4972.65,17,2.12,51,Male,Bronze,2,High Value
C0438,5187.5,15,1.73,21,Male,Bronze,2,High Value
C0439,3678.92,15,2.67,18,Female,Silver,0,Low Value
C0440,6354.69,21,2.19,34,Male,Bronze,0,Low Value
