transaction_id,customer_id,product_id,store_id,date_id,quantity,unit_price,total_amount,discount
T000050,C0400,P075,S001,D179,2,140.27,279.14,0.005
T000051,C0055,P092,S001,D192,5,102.72,470.97,0.083
T000052,C0209,P071,S001,D003,3,78.99,219.2,0.075
T000053,C0395,P143,S001,D216,5,125.02,615.72,0.015
T000054,C0136,P119,S001,D213,1,202.53,191.19,0.056
T000055,C0414,P164,S001,D096,3,31.15,76.35,0.183
T000056,C0357,P026,S001,D307,3,148.87,441.7,0.011
T000057,C0439,P090,S001,D144,4,113.31,427.86,0.056
T000058,C0128,P115,S001,D100,1,188.06,173.39,0.078
T000059,C0026,P083,S001,D223,3,145.94,432.13,0.013
T000060,C0090,P082,S001,D170,1,202.38,198.33,0.02
T000061,C0232,P017,S001,D137,3,86.22,218.57,0.155
T000062,C0049,P052,S001,D321,2,83.32,159.97,0.04
T000063,C0072,P075,S001,D318,2,134.89,268.97,0.003
T000064,C0400,P057,S001,D209,2,60.13,119.42,0.007
T000065,C0422,P024,S001,D301,1,133.47,110.91,0.169
T000066,C0481,P082,S001,D285,3,210.05,572.81,0.091
T000067,C0133,P053,S001,D332,1,95.19,89.95,0.055
T000068,C0034,P102,S001,D257,1,107.89,97.64,0.095
T000069,C0415,P154,S001,D143,2,91.05,161.52,0.113
T000070,C0425,P037,S001,D308,1,157.37,148.09,0.059
T000071,C0483,P057,S001,D126,1,58.3,54.69,0.062
T000072,C0294,P155,S001,D070,1,78.42,70.5,0.101
T000073,C0255,P035,S001,D255,1,63.03,60.89,0.034
T000074,C0089,P158,S001,D298,1,37.4,33.14,0.114
T000075,C0141,P096,S001,D308,1,273.13,242.54,0.112
T000076,C0018,P033,S001,D214,2,62.78,113.88,0.093
T000077,C0332,P086,S001,D144,1,145.87,142.81,0.021
T000078,C0282,P086,S001,D311,1,147.5,146.91,0.004
T000079,C0197,P104,S001,D243,2,108.92,215.66,0.01
T000080,C0453,P043,S001,D037,1,207.77,181.8,0.125
T000081,C0411,P120,S001,D107,2,212.38,424.34,0.001
T000082,C0196,P139,S001,D119,1,279.07,274.05,0.018
T000083,C0279,P069,S001,D243,2,78.8,145.94,0.074
T000084,C0290,P115,S001,D314,1,182.95,179.47,0.019
T000085,C0093,P127,S001,D080,2,284.22,551.39,0.03
T000086,C0016,P011,S001,D013,3,94.4,253.75,0.104
T000087,C0030,P034,S001,D186,1,64.69,63.14,0.024
T000088,C0184,P100,S001,D038,2,111.75,212.32,0.05
T000089,C0499,P118,S001,D061,1,209.52,195.48,0.067
T000090,C0124,P045,S001,D275,3,188.98,506.28,0.107
T000091,C0470,P065,S001,D010,1,331.08,296.98,0.103
T000092,C0486,P057,S001,D163,2,57.46,110.09,0.042
T000093,C0409,P159,S001,D218,1,38.92,37.09,0.047
T000094,C0433,P142,S001,D252,1,225.43,222.72,0.012
T000095,C0163,P055,S001,D269,5,60.76,273.72,0.099
T000096,C0468,P125,S001,D189,4,335.03,1293.22,0.035
T000097,C0181,P074,S001,D062,3,150.59,439.12,0.028
T000098,C0289,P035,S001,D227,2,66.6,108.69,0.184
T000099,C0415,P054,S001,D065,2,84.22,154.29,0.084
T000100,C0159,P033,S001,D253,1,61.14,54.78,0.104
T000101,C0029,P064,S001,D237,2,320.01,561.94,0.122
T000102,C0270,P018,S001,D249,2,34.51,67.85,0.017
T000103,C0315,P159,S001,D323,3,38.48,102.4,0.113
T000104,C0368,P056,S001,D197,3,57.07,164.36,0.04
T000105,C0445,P020,S001,D139,2,33.42,66.77,0.001
T000106,C0301,P034,S001,D114,1,64.29,63.84,0.007
T000107,C0057,P004,S001,D292,2,77.18,125.65,0.186
T000108,C0492,P143,S001,D196,2,123.99,239.3,0.035
T000109,C0340,P121,S001,D134,5,195.95,871.98,0.11
T000110,C0155,P017,S001,D280,1,85.02,80.85,0.049
T000111,C0375,P160,S001,D300,1,41.09,39.45,0.04
T000112,C0492,P145,S001,D070,2,123.74,243.52,0.016
T000113,C0363,P110,S001,D026,1,187.61,169.04,0.099
T000114,C0476,P069,S001,D350,2,78.02,144.34,0.075
T000115,C0341,P055,S001,D099,2,59.98,118.88,0.009
T000116,C0158,P048,S001,D060,1,92.43,91.04,0.015
T000117,C0091,P137,S001,D146,1,161.48,153.89,0.047
T000118,C0486,P154,S001,D348,2,93.53,179.02,0.043
T000119,C0395,P091,S001,D080,1,114.74,114.51,0.002
T000120,C0309,P075,S001,D292,3,136.52,393.18,0.04
T000121,C0314,P113,S001,D145,3,169.74,494.96,0.028
T000122,C0480,P024,S001,D038,3,134.24,349.16,0.133
T000123,C0040,P019,S001,D211,1,36.3,34.52,0.049
T000124,C0086,P070,S001,D143,1,75.24,71.63,0.048
T000125,C0421,P066,S001,D303,1,294.22,284.8,0.032
T000126,C0454,P132,S001,D223,2,91.35,182.52,0.001
T000127,C0108,P019,S001,D277,2,36.33,72.44,0.003
T000128,C0132,P022,S001,D105,1,138.86,124.97,0.1
T000129,C0025,P008,S001,D282,4,74.32,286.28,0.037
T000130,C0497,P012,S001,D225,1,84.36,82.59,0.021
T000131,C0452,P130,S001,D171,4,86.85,338.02,0.027
T000132,C0052,P070,S001,D257,1,76.1,68.11,0.105
T000133,C0296,P009,S001,D217,1,75.69,68.27,0.098
T000134,C0084,P018,S001,D213,1,34.46,33.08,0.04
T000135,C0018,P149,S001,D010,4,1179.12,4376.89,0.072
T000136,C0488,P102,S001,D069,2,107.27,210.89,0.017
T000137,C0455,P026,S001,D195,4,146.84,565.63,0.037
T000138,C0281,P019,S001,D079,1,37.86,33.39,0.118
T000139,C0174,P040,S001,D364,4,140.5,544.58,0.031
T000140,C0248,P051,S001,D067,3,83.25,244.26,0.022
T000141,C0335,P131,S001,D101,2,95.31,169.27,0.112
T000142,C0081,P144,S001,D154,3,134.43,396.43,0.017
T000143,C0499,P070,S001,D136,1,73.24,65.99,0.099
T000144,C0370,P104,S001,D091,3,114.18,312.4,0.088
T000145,C0339,P073,S001,D055,2,129.5,255.89,0.012
T000146,C0026,P030,S001,D167,3,100.44,293.18,0.027
T000147,C0252,P140,S001,D089,4,265.35,1042.29,0.018
T000148,C0219,P097,S001,D052,1,295.1,263.23,0.108
T000149,C0321,P084,S001,D223,1,141.33,139.92,0.01
T000150,C0014,P059,S001,D359,2,55.25,100.0,0.095
T000151,C0042,P090,S001,D102,1,114.31,113.62,0.006
T000152,C0402,P058,S001,D285,2,51.91,95.1,0.084
T000153,C0339,P121,S001,D288,1,194.41,188.19,0.032
T000154,C0199,P049,S001,D306,2,89.18,170.51,0.044
T000155,C0190,P021,S001,D149,1,34.0,33.93,0.002
T000156,C0226,P012,S001,D262,2,85.9,169.91,0.011
T000157,C0138,P120,S001,D328,1,212.65,199.68,0.061
T000158,C0357,P011,S001,D258,1,93.14,92.77,0.004
T000159,C0177,P161,S001,D364,4,39.95,137.27,0.141
T000160,C0388,P093,S001,D173,1,96.76,88.15,0.089
T000161,C0431,P091,S001,D179,2,110.86,188.02,0.152
T000162,C0495,P032,S001,D231,1,61.5,58.86,0.043
T000163,C0244,P025,S001,D364,4,128.86,451.53,0.124
T000164,C0154,P087,S001,D216,2,151.86,269.4,0.113
T000165,C0366,P007,S001,D105,1,61.37,55.85,0.09
T000166,C0265,P052,S001,D111,2,85.02,164.26,0.034
T000167,C0318,P129,S001,D143,1,95.72,91.22,0.047
T000168,C0230,P127,S001,D105,3,286.8,758.01,0.119
T000169,C0498,P054,S001,D306,2,80.91,151.63,0.063
T000170,C0022,P002,S001,D290,3,77.99,222.51,0.049
T000171,C0223,P135,S001,D278,1,155.41,149.04,0.041
T000172,C0076,P047,S001,D102,2,216.92,404.34,0.068
T000173,C0467,P111,S001,D006,2,159.66,306.55,0.04
T000174,C0045,P027,S001,D080,4,91.51,358.72,0.02
T000175,C0167,P066,S001,D051,2,296.8,578.17,0.026
T000176,C0470,P161,S001,D131,1,40.1,35.89,0.105
T000177,C0320,P091,S001,D210,5,112.21,539.17,0.039
T000178,C0058,P122,S001,D284,1,191.92,190.58,0.007
T000179,C0302,P138,S001,D183,1,271.94,239.85,0.118
T000180,C0052,P123,S001,D111,2,308.66,562.38,0.089
T000181,C0052,P052,S001,D180,1,84.94,75.51,0.111
T000182,C0451,P060,S001,D351,1,52.65,51.54,0.021
T000183,C0197,P138,S001,D098,1,273.11,265.19,0.029
T000184,C0243,P023,S001,D201,5,140.49,692.62,0.014
T000185,C0074,P077,S001,D325,1,149.44,144.36,0.034
T000186,C0206,P051,S001,D303,3,79.96,229.33,0.044
T000187,C0170,P084,S001,D180,1,142.1,127.18,0.105
T000188,C0244,P004,S001,D064,1,77.52,62.79,0.19
T000189,C0011,P105,S001,D168,1,126.09,121.05,0.04
T000190,C0160,P027,S001,D272,1,90.92,83.28,0.084
T000191,C0357,P028,S001,D307,1,99.99,95.09,0.049
T000192,C0117,P012,S001,D066,2,84.19,148.51,0.118
T000193,C0227,P056,S001,D022,4,59.16,232.85,0.016
T000194,C0374,P019,S001,D302,2,36.7,66.43,0.095
T000195,C0097,P114,S001,D218,2,165.18,315.16,0.046
T000196,C0209,P141,S001,D162,2,267.85,480.52,0.103
T000197,C0445,P078,S001,D343,5,196.8,981.05,0.003
T000198,C0406,P042,S001,D147,4,208.27,819.75,0.016
T000199,C0260,P160,S001,D158,1,39.78,35.6,0.105
T000200,C0269,P114,S001,D184,3,169.53,482.14,0.052
T000201,C0099,P081,S001,D328,3,218.63,649.33,0.01
T000202,C0030,P152,S001,D295,2,1199.27,2343.37,0.023
T000203,C0471,P134,S001,D354,2,145.26,287.61,0.01
T000204,C0189,P090,S001,D359,1,116.71,113.79,0.025
T000205,C0326,P044,S001,D283,1,191.86,173.06,0.098
T000206,C0124,P057,S001,D193,1,57.99,52.65,0.092
T000207,C0091,P046,S001,D360,2,217.12,423.82,0.024
T000208,C0283,P142,S001,D026,1,227.86,226.04,0.008
T000209,C0458,P004,S001,D183,4,74.52,243.53,0.183
T000210,C0047,P043,S001,D325,2,201.5,395.34,0.019
T000211,C0084,P008,S001,D180,3,76.42,220.32,0.039
T000212,C0110,P083,S001,D098,3,147.49,400.44,0.095
T000213,C0347,P085,S001,D144,3,144.95,420.5,0.033
T000214,C0263,P063,S001,D210,1,263.65,235.97,0.105
T000215,C0393,P064,S001,D218,4,328.79,1206.0,0.083
T000216,C0068,P090,S001,D225,2,115.5,224.07,0.03
T000217,C0005,P003,S001,D006,3,78.03,227.07,0.03
T000218,C0483,P095,S001,D264,1,293.97,259.28,0.118
T000219,C0330,P084,S001,D182,2,138.6,224.53,0.19
T000220,C0437,P100,S001,D014,3,108.99,322.72,0.013
T000221,C0239,P058,S001,D202,3,51.61,150.8,0.026
T000222,C0320,P042,S001,D161,3,211.31,630.76,0.005
T000223,C0262,P136,S001,D171,2,175.25,309.14,0.118
T000224,C0430,P152,S001,D177,3,1208.38,3509.14,0.032
T000225,C0312,P004,S001,D029,3,74.62,216.25,0.034
T000226,C0247,P005,S001,D312,1,83.49,73.55,0.119
T000227,C0328,P097,S001,D136,2,299.42,590.46,0.014
T000228,C0336,P088,S001,D117,2,151.59,289.54,0.045
T000229,C0153,P086,S001,D062,1,144.93,132.47,0.086
T000230,C0124,P071,S001,D088,2,82.77,147.99,0.106
T000231,C0411,P033,S001,D014,2,63.51,124.48,0.02
T000232,C0164,P098,S001,D135,4,99.9,359.64,0.1
T000233,C0336,P112,S001,D293,1,181.14,178.42,0.015
T000234,C0465,P045,S001,D031,1,190.72,187.1,0.019
T000235,C0019,P044,S001,D232,1,188.04,178.64,0.05
T000236,C0418,P119,S001,D238,1,194.65,174.99,0.101
T000237,C0114,P103,S001,D363,3,105.92,307.59,0.032
T000238,C0244,P104,S001,D012,2,114.06,190.02,0.167
T000239,C0260,P051,S001,D331,1,81.25,76.21,0.062
T000240,C0337,P075,S001,D108,1,141.15,139.88,0.009
T000241,C0050,P084,S001,D123,1,140.24,135.05,0.037
T000242,C0372,P105,S001,D017,2,129.69,249.52,0.038
T000243,C0094,P086,S001,D277,1,151.65,134.51,0.113
T000244,C0336,P074,S001,D222,2,143.04,280.93,0.018
T000245,C0382,P066,S001,D263,5,297.06,1454.11,0.021
T000246,C0455,P024,S001,D228,1,132.91,131.18,0.013
T000247,C0151,P002,S001,D034,3,78.18,233.13,0.006
T000248,C0028,P054,S001,D184,1,84.14,81.7,0.029
T000249,C0484,P071,S001,D207,4,81.42,298.65,0.083
T000250,C0100,P072,S001,D001,2,132.49,253.59,0.043
T000251,C0196,P112,S001,D017,2,181.49,355.36,0.021
T000252,C0446,P096,S001,D016,1,282.67,265.71,0.06
T000253,C0103,P015,S001,D364,4,77.97,274.77,0.119
T000254,C0458,P166,S001,D319,3,28.19,72.22,0.146
T000255,C0162,P118,S001,D021,2,218.54,433.15,0.009
T000256,C0042,P013,S001,D236,3,90.89,263.94,0.032
T000257,C0091,P080,S001,D223,2,202.16,403.11,0.003
T000258,C0232,P075,S001,D268,3,136.15,336.56,0.176
T000259,C0087,P059,S001,D177,2,56.5,112.1,0.008
T000260,C0403,P051,S001,D268,2,83.54,157.72,0.056
T000261,C0315,P150,S001,D199,1,1169.92,1002.62,0.143
T000262,C0220,P136,S001,D148,2,174.9,322.87,0.077
T000263,C0020,P079,S001,D040,1,199.98,192.58,0.037
T000264,C0487,P138,S001,D070,2,262.71,517.01,0.016
T000265,C0427,P003,S001,D361,2,79.49,150.87,0.051
T000266,C0003,P052,S001,D318,1,84.14,83.13,0.012
T000267,C0356,P158,S001,D072,3,38.58,113.89,0.016
T000268,C0053,P101,S001,D326,1,106.49,89.56,0.159
T000269,C0086,P106,S001,D272,1,119.13,118.89,0.002
T000270,C0486,P018,S001,D301,2,34.13,65.8,0.036
T000271,C0306,P036,S001,D325,3,144.89,399.9,0.08
T000272,C0352,P014,S001,D276,1,88.7,82.14,0.074
T000273,C0462,P049,S001,D217,3,90.85,244.48,0.103
T000274,C0085,P058,S001,D262,2,53.63,95.03,0.114
T000275,C0207,P110,S001,D325,2,177.21,331.03,0.066
T000276,C0068,P150,S001,D345,5,1154.24,5765.43,0.001
T000277,C0259,P084,S001,D258,5,137.7,676.11,0.018
T000278,C0334,P043,S001,D036,3,207.71,575.77,0.076
T000279,C0328,P095,S001,D263,1,293.08,285.17,0.027
T000280,C0025,P146,S001,D318,4,125.53,501.12,0.002
T000281,C0056,P102,S001,D274,1,110.89,110.78,0.001
T000282,C0354,P014,S001,D023,2,84.15,164.6,0.022
T000283,C0064,P125,S001,D033,2,334.15,652.26,0.024
T000284,C0079,P147,S001,D207,3,130.74,378.88,0.034
T000285,C0005,P041,S001,D320,1,156.84,151.66,0.033
T000286,C0340,P148,S001,D335,2,1055.66,1769.29,0.162
T000287,C0359,P063,S001,D035,2,265.56,508.81,0.042
T000288,C0054,P164,S001,D211,1,30.83,27.96,0.093
T000289,C0145,P018,S001,D276,3,33.76,100.77,0.005
T000290,C0102,P151,S001,D150,2,1110.18,2133.77,0.039
T000291,C0426,P048,S001,D246,3,91.28,271.1,0.01
T000292,C0361,P159,S001,D009,4,38.97,154.63,0.008
T000293,C0281,P125,S001,D265,4,333.13,1245.91,0.065
T000294,C0478,P015,S001,D010,2,78.62,146.86,0.066
T000295,C0007,P022,S001,D026,5,137.92,658.57,0.045
T000296,C0428,P144,S001,D050,4,138.74,541.09,0.025
T000297,C0487,P023,S001,D062,1,140.95,137.29,0.026
T000298,C0371,P147,S001,D306,4,134.88,437.01,0.19
T000299,C0330,P028,S001,D020,1,97.29,77.93,0.199
T000300,C0152,P010,S001,D275,2,90.52,180.5,0.003
T000301,C0417,P160,S001,D009,1,39.23,37.15,0.053
T000302,C0149,P023,S001,D293,3,143.29,415.25,0.034
T000303,C0219,P142,S001,D126,2,233.22,439.85,0.057
T000304,C0389,P043,S001,D091,4,208.91,793.02,0.051
T000305,C0071,P128,S001,D165,2,340.57,601.45,0.117
T000306,C0184,P103,S001,D145,2,107.23,204.17,0.048
T000307,C0138,P146,S001,D168,3,127.66,361.15,0.057
T000308,C0418,P085,S001,D229,2,146.16,275.37,0.058
T000309,C0205,P008,S001,D083,1,76.91,67.14,0.127
T000310,C0198,P007,S001,D211,3,63.85,175.65,0.083
T000311,C0216,P128,S001,D038,1,340.27,326.66,0.04
T000312,C0058,P122,S001,D350,1,188.66,181.87,0.036
T000313,C0483,P166,S001,D255,2,28.09,52.98,0.057
T000314,C0467,P033,S001,D173,5,62.69,300.91,0.04
T000315,C0348,P002,S001,D335,2,78.06,141.6,0.093
T000316,C0399,P039,S001,D053,2,144.33,288.37,0.001
T000317,C0351,P120,S001,D122,1,216.66,208.86,0.036
T000318,C0457,P074,S001,D348,1,143.4,115.87,0.192
T000319,C0058,P092,S001,D082,1,107.27,104.91,0.022
T000320,C0033,P080,S001,D063,1,201.53,198.31,0.016
T000321,C0361,P152,S001,D341,2,1244.48,2424.25,0.026
T000322,C0381,P085,S001,D058,1,148.23,134.89,0.09
T000323,C0490,P102,S001,D022,3,111.0,308.36,0.074
T000324,C0268,P009,S001,D226,2,75.86,147.02,0.031
T000325,C0222,P097,S001,D033,3,305.53,905.59,0.012
T000326,C0178,P098,S001,D204,3,99.8,289.82,0.032
T000327,C0077,P085,S001,D008,4,150.55,508.26,0.156
T000328,C0314,P159,S001,D060,2,38.13,73.82,0.032
T000329,C0081,P150,S001,D281,1,1174.98,1147.96,0.023
T000330,C0254,P054,S001,D173,4,84.15,335.25,0.004
T000331,C0252,P048,S001,D330,2,90.17,177.27,0.017
T000332,C0143,P155,S001,D250,1,76.62,75.78,0.011
T000333,C0330,P010,S001,D255,1,91.15,74.56,0.182
T000334,C0041,P158,S001,D167,1,37.64,36.13,0.04
T000335,C0230,P127,S001,D108,1,285.31,261.06,0.085
T000336,C0162,P079,S001,D334,2,195.01,380.27,0.025
T000337,C0335,P128,S001,D356,1,327.5,301.96,0.078
T000338,C0019,P050,S001,D182,4,85.06,340.24,0.0
T000339,C0047,P143,S001,D320,2,129.48,246.53,0.048
T000340,C0327,P085,S001,D234,2,145.82,266.56,0.086
T000341,C0106,P092,S001,D066,2,105.8,206.73,0.023
T000342,C0175,P064,S001,D250,2,322.56,577.38,0.105
T000343,C0115,P075,S001,D355,2,140.88,261.19,0.073
T000344,C0393,P030,S001,D226,1,101.82,93.37,0.083
T000345,C0337,P088,S001,D046,4,148.46,580.18,0.023
T000346,C0050,P035,S001,D052,2,65.87,130.29,0.011
T000347,C0175,P068,S001,D011,2,76.13,127.44,0.163
T000348,C0410,P134,S001,D048,2,144.66,281.8,0.026
T000349,C0360,P130,S001,D253,1,85.42,81.58,0.045
T000350,C0253,P016,S001,D141,2,85.84,142.15,0.172
T000351,C0370,P119,S001,D237,1,197.26,183.85,0.068
T000352,C0101,P012,S001,D211,3,84.47,204.5,0.193
T000353,C0202,P105,S001,D026,3,125.16,360.09,0.041
T000354,C0098,P078,S001,D128,2,200.88,399.75,0.005
T000355,C0213,P084,S001,D191,1,136.67,114.39,0.163
T000356,C0345,P151,S001,D036,2,1108.85,2131.21,0.039
T000357,C0231,P150,S001,D059,4,1171.59,4550.46,0.029
T000358,C0259,P056,S001,D338,2,56.92,110.99,0.025
T000359,C0272,P059,S001,D302,1,57.04,55.44,0.028
T000360,C0222,P140,S001,D329,1,276.49,269.85,0.024
T000361,C0261,P053,S001,D217,1,94.43,90.09,0.046
T000362,C0355,P061,S001,D172,1,50.82,48.94,0.037
T000363,C0066,P124,S001,D283,1,342.28,309.42,0.096
T000364,C0311,P103,S001,D086,4,107.16,417.92,0.025
T000365,C0197,P166,S001,D188,1,27.39,26.57,0.03
T000366,C0355,P005,S001,D168,1,87.08,85.86,0.014
T000367,C0494,P081,S001,D126,3,211.8,590.29,0.071
T000368,C0413,P032,S001,D030,3,60.02,154.67,0.141
T000369,C0359,P123,S001,D053,2,307.97,599.93,0.026
T000370,C0432,P001,S001,D184,1,76.96,73.65,0.043
T000371,C0365,P022,S001,D336,1,138.45,134.57,0.028
T000372,C0112,P111,S001,D154,1,154.68,149.88,0.031
T000373,C0149,P039,S001,D362,1,147.19,140.42,0.046
T000374,C0068,P141,S001,D175,3,271.66,788.09,0.033
T000375,C0491,P087,S001,D057,3,152.79,418.03,0.088
T000376,C0327,P154,S001,D042,1,92.13,86.79,0.058
T000377,C0181,P100,S001,D107,1,110.4,107.2,0.029
T000378,C0483,P042,S001,D241,1,214.75,197.78,0.079
T000379,C0383,P021,S001,D174,1,35.47,32.38,0.087
T000380,C0450,P090,S001,D336,2,116.88,224.41,0.04
T000381,C0268,P081,S001,D077,4,208.77,819.21,0.019
T000382,C0028,P106,S001,D171,1,123.57,122.33,0.01
T000383,C0385,P105,S001,D034,1,129.51,123.16,0.049
T000384,C0350,P077,S001,D330,5,146.17,651.19,0.109
T000385,C0354,P017,S001,D240,4,87.4,346.1,0.01
T000386,C0278,P069,S001,D041,1,75.32,67.26,0.107
T000387,C0053,P128,S001,D257,1,339.61,282.56,0.168
T000388,C0288,P020,S001,D358,4,34.52,124.0,0.102
T000389,C0288,P108,S001,D284,1,129.99,118.81,0.086
T000390,C0408,P053,S001,D047,2,94.52,186.39,0.014
T000391,C0341,P082,S001,D134,2,202.58,397.46,0.019
T000392,C0214,P066,S001,D132,1,298.54,263.31,0.118
T000393,C0161,P062,S001,D044,1,301.67,300.76,0.003
T000394,C0381,P022,S001,D325,2,134.47,243.93,0.093
T000395,C0400,P106,S001,D139,2,124.97,244.44,0.022
T000396,C0116,P120,S001,D253,1,217.06,180.16,0.17
T000397,C0332,P007,S001,D019,3,62.63,182.44,0.029
T000398,C0379,P012,S001,D188,1,86.61,77.6,0.104
T000399,C0494,P090,S001,D243,1,112.38,103.28,0.081
T000400,C0350,P065,S001,D223,1,318.11,280.89,0.117
T000401,C0377,P046,S001,D131,2,211.46,390.78,0.076
T000402,C0220,P085,S001,D211,4,145.59,542.76,0.068
T000403,C0083,P109,S001,D028,2,126.63,249.97,0.013
T000404,C0170,P142,S001,D226,3,229.47,554.86,0.194
T000405,C0021,P076,S001,D088,1,129.02,126.96,0.016
T000406,C0027,P026,S001,D210,4,150.38,582.87,0.031
T000407,C0432,P145,S001,D045,3,125.04,365.74,0.025
T000408,C0294,P055,S001,D055,4,59.84,226.2,0.055
T000409,C0363,P035,S001,D216,3,64.15,179.94,0.065
T000410,C0095,P007,S001,D255,1,63.21,60.74,0.039
T000411,C0082,P122,S001,D179,5,191.94,933.79,0.027
T000412,C0048,P004,S001,D359,1,74.93,71.63,0.044
T000413,C0340,P139,S001,D133,4,271.66,938.86,0.136
T000414,C0112,P042,S001,D334,1,218.36,211.59,0.031
T000415,C0244,P112,S001,D209,1,186.57,152.61,0.182
T000416,C0333,P105,S001,D016,2,123.58,239.0,0.033
T000417,C0229,P038,S001,D364,1,166.14,150.36,0.095
T000418,C0471,P058,S001,D325,1,52.61,50.08,0.048
T000419,C0350,P141,S001,D161,1,270.14,249.34,0.077
T000420,C0408,P056,S001,D172,4,59.75,234.46,0.019
T000421,C0277,P139,S001,D115,4,278.12,1054.63,0.052
T000422,C0265,P004,S001,D365,5,77.07,378.03,0.019
T000423,C0412,P023,S001,D279,4,144.58,564.44,0.024
T000424,C0152,P113,S001,D125,5,176.76,874.96,0.01
T000425,C0264,P047,S001,D044,4,207.33,825.17,0.005
T000426,C0498,P136,S001,D265,4,174.81,637.71,0.088
T000427,C0004,P131,S001,D120,4,98.01,366.56,0.065
T000428,C0323,P062,S001,D171,3,298.29,856.39,0.043
T000429,C0218,P160,S001,D096,2,40.82,80.82,0.01
T000430,C0425,P007,S001,D120,2,63.9,112.72,0.118
T000431,C0397,P029,S001,D004,1,91.39,87.64,0.041
T000432,C0037,P045,S001,D282,2,194.5,385.89,0.008
T000433,C0236,P032,S001,D008,1,62.17,55.7,0.104
T000434,C0038,P014,S001,D120,2,83.84,149.91,0.106
T000435,C0286,P030,S001,D337,1,98.48,94.44,0.041
T000436,C0467,P116,S001,D015,2,175.91,345.14,0.019
T000437,C0323,P108,S001,D254,1,130.11,128.03,0.016
T000438,C0200,P008,S001,D065,3,75.61,192.13,0.153
T000439,C0329,P119,S001,D142,2,200.96,380.22,0.054
T000440,C0382,P008,S001,D362,2,75.21,145.16,0.035
T000441,C0038,P122,S001,D037,4,191.26,700.01,0.085
T000442,C0149,P025,S001,D184,3,130.51,385.66,0.015
T000443,C0045,P126,S001,D073,2,348.28,664.52,0.046
T000444,C0196,P009,S001,D265,4,74.54,288.32,0.033
T000445,C0243,P031,S001,D220,1,89.9,88.91,0.011
T000446,C0383,P124,S001,D190,4,348.33,1245.63,0.106
T000447,C0280,P156,S001,D285,1,87.03,72.84,0.163
