date_id,date,day,day_name,month,month_name,quarter,year,is_weekend,is_holiday,holiday_name
D156,6/5/2023,5,Monday,6,June,2,2023,0,0,
D157,6/6/2023,6,Tuesday,6,June,2,2023,0,0,
D158,6/7/2023,7,Wednesday,6,June,2,2023,0,0,
D159,6/8/2023,8,Thursday,6,June,2,2023,0,0,
D160,6/9/2023,9,Friday,6,June,2,2023,1,0,
D161,,10,Saturday,6,June,2,2023,1,0,
D162,,11,Sunday,6,June,2,2023,1,0,
D163,,12,Monday,6,June,2,2023,0,0,
D164,,13,Tuesday,6,June,2,2023,0,0,
D165,,14,Wednesday,6,June,2,2023,0,0,
D166,,15,Thursday,6,June,2,2023,0,0,
D167,,16,Friday,6,June,2,2023,1,0,
D168,,17,Saturday,6,June,2,2023,1,0,
D169,,18,Sunday,6,June,2,2023,1,0,
D170,,19,Monday,6,June,2,2023,0,0,
D171,,20,Tuesday,6,June,2,2023,0,0,
D172,,21,Wednesday,6,June,2,2023,0,0,
D173,,22,Thursday,6,June,2,2023,0,0,
D174,,23,Friday,6,June,2,2023,1,0,
D175,,24,Saturday,6,June,2,2023,1,0,
D176,,25,Sunday,6,June,2,2023,1,0,
D177,,26,Monday,6,June,2,2023,0,0,
D178,,27,Tuesday,6,June,2,2023,0,0,
D179,,28,Wednesday,6,June,2,2023,0,1,Eid ul-Adha
D180,,29,Thursday,6,June,2,2023,0,0,
D181,,30,Friday,6,June,2,2023,1,0,
D182,7/1/2023,1,Saturday,7,July,3,2023,1,0,
D183,7/2/2023,2,Sunday,7,July,3,2023,1,0,
D184,7/3/2023,3,Monday,7,July,3,2023,0,0,
D185,7/4/2023,4,Tuesday,7,July,3,2023,0,0,
D186,7/5/2023,5,Wednesday,7,July,3,2023,0,0,
D187,7/6/2023,6,Thursday,7,July,3,2023,0,0,
D188,7/7/2023,7,Friday,7,July,3,2023,1,0,
D189,7/8/2023,8,Saturday,7,July,3,2023,1,0,
D190,7/9/2023,9,Sunday,7,July,3,2023,1,0,
D191,,10,Monday,7,July,3,2023,0,0,
D192,,11,Tuesday,7,July,3,2023,0,0,
D193,,12,Wednesday,7,July,3,2023,0,0,
D194,,13,Thursday,7,July,3,2023,0,0,
D195,,14,Friday,7,July,3,2023,1,0,
D196,,15,Saturday,7,July,3,2023,1,0,
D197,,16,Sunday,7,July,3,2023,1,0,
D198,,17,Monday,7,July,3,2023,0,0,
D199,,18,Tuesday,7,July,3,2023,0,0,
D200,,19,Wednesday,7,July,3,2023,0,0,
D201,,20,Thursday,7,July,3,2023,0,0,
D202,,21,Friday,7,July,3,2023,1,0,
D203,,22,Saturday,7,July,3,2023,1,0,
D204,,23,Sunday,7,July,3,2023,1,0,
D205,,24,Monday,7,July,3,2023,0,0,
D206,,25,Tuesday,7,July,3,2023,0,0,
D207,,26,Wednesday,7,July,3,2023,0,0,
D208,,27,Thursday,7,July,3,2023,0,0,
D209,,28,Friday,7,July,3,2023,1,0,
D210,,29,Saturday,7,July,3,2023,1,0,
D211,,30,Sunday,7,July,3,2023,1,0,
D212,,31,Monday,7,July,3,2023,0,0,
D213,8/1/2023,1,Tuesday,8,August,3,2023,0,0,
D214,8/2/2023,2,Wednesday,8,August,3,2023,0,0,
D215,8/3/2023,3,Thursday,8,August,3,2023,0,0,
D216,8/4/2023,4,Friday,8,August,3,2023,1,0,
D217,8/5/2023,5,Saturday,8,August,3,2023,1,0,
D218,8/6/2023,6,Sunday,8,August,3,2023,1,0,
D219,8/7/2023,7,Monday,8,August,3,2023,0,0,
D220,8/8/2023,8,Tuesday,8,August,3,2023,0,0,
D221,8/9/2023,9,Wednesday,8,August,3,2023,0,0,
D222,,10,Thursday,8,August,3,2023,0,0,
D223,,11,Friday,8,August,3,2023,1,0,
D224,,12,Saturday,8,August,3,2023,1,0,
D225,,13,Sunday,8,August,3,2023,1,0,
D226,,14,Monday,8,August,3,2023,0,1,Independence Day
D227,,15,Tuesday,8,August,3,2023,0,0,
D228,,16,Wednesday,8,August,3,2023,0,0,
D229,,17,Thursday,8,August,3,2023,0,0,
D230,,18,Friday,8,August,3,2023,1,0,
D231,,19,Saturday,8,August,3,2023,1,0,
D232,,20,Sunday,8,August,3,2023,1,0,
D233,,21,Monday,8,August,3,2023,0,0,
D234,,22,Tuesday,8,August,3,2023,0,0,
D235,,23,Wednesday,8,August,3,2023,0,0,
D236,,24,Thursday,8,August,3,2023,0,0,
D237,,25,Friday,8,August,3,2023,1,0,
D238,,26,Saturday,8,August,3,2023,1,0,
D239,,27,Sunday,8,August,3,2023,1,0,
D240,,28,Monday,8,August,3,2023,0,0,
D241,,29,Tuesday,8,August,3,2023,0,0,
D242,,30,Wednesday,8,August,3,2023,0,0,
D243,,31,Thursday,8,August,3,2023,0,0,
D244,9/1/2023,1,Friday,9,September,3,2023,1,0,
D245,9/2/2023,2,Saturday,9,September,3,2023,1,0,
D246,9/3/2023,3,Sunday,9,September,3,2023,1,0,
D247,9/4/2023,4,Monday,9,September,3,2023,0,0,
D248,9/5/2023,5,Tuesday,9,September,3,2023,0,0,
D249,9/6/2023,6,Wednesday,9,September,3,2023,0,0,
D250,9/7/2023,7,Thursday,9,September,3,2023,0,0,
D251,9/8/2023,8,Friday,9,September,3,2023,1,0,
D252,9/9/2023,9,Saturday,9,September,3,2023,1,0,
D253,,10,Sunday,9,September,3,2023,1,0,
D254,,11,Monday,9,September,3,2023,0,0,
D255,,12,Tuesday,9,September,3,2023,0,0,
D256,,13,Wednesday,9,September,3,2023,0,0,
D257,,14,Thursday,9,September,3,2023,0,0,
D258,,15,Friday,9,September,3,2023,1,0,
D259,,16,Saturday,9,September,3,2023,1,0,
D260,,17,Sunday,9,September,3,2023,1,0,
D261,,18,Monday,9,September,3,2023,0,0,
D262,,19,Tuesday,9,September,3,2023,0,0,
D263,,20,Wednesday,9,September,3,2023,0,0,
D264,,21,Thursday,9,September,3,2023,0,0,
D265,,22,Friday,9,September,3,2023,1,0,
D266,,23,Saturday,9,September,3,2023,1,0,
D267,,24,Sunday,9,September,3,2023,1,0,
D268,,25,Monday,9,September,3,2023,0,0,
D269,,26,Tuesday,9,September,3,2023,0,0,
D270,,27,Wednesday,9,September,3,2023,0,0,
D271,,28,Thursday,9,September,3,2023,0,0,
D272,,29,Friday,9,September,3,2023,1,0,
D273,,30,Saturday,9,September,3,2023,1,0,
D274,,1,Sunday,10,October,4,2023,1,0,
D275,,2,Monday,10,October,4,2023,0,0,
D276,,3,Tuesday,10,October,4,2023,0,0,
D277,,4,Wednesday,10,October,4,2023,0,0,
D278,,5,Thursday,10,October,4,2023,0,0,
D279,,6,Friday,10,October,4,2023,1,0,
D280,,7,Saturday,10,October,4,2023,1,0,
D281,,8,Sunday,10,October,4,2023,1,0,
D282,,9,Monday,10,October,4,2023,0,0,
D283,,10,Tuesday,10,October,4,2023,0,0,
D284,,11,Wednesday,10,October,4,2023,0,0,
D285,,12,Thursday,10,October,4,2023,0,0,
D286,,13,Friday,10,October,4,2023,1,0,
D287,,14,Saturday,10,October,4,2023,1,0,
D288,,15,Sunday,10,October,4,2023,1,0,
D289,,16,Monday,10,October,4,2023,0,0,
D290,,17,Tuesday,10,October,4,2023,0,0,
D291,,18,Wednesday,10,October,4,2023,0,0,
D292,,19,Thursday,10,October,4,2023,0,0,
D293,,20,Friday,10,October,4,2023,1,0,
D294,,21,Saturday,10,October,4,2023,1,0,
D295,,22,Sunday,10,October,4,2023,1,0,
D296,,23,Monday,10,October,4,2023,0,0,
D297,,24,Tuesday,10,October,4,2023,0,0,
D298,,25,Wednesday,10,October,4,2023,0,0,
D299,,26,Thursday,10,October,4,2023,0,0,
D300,,27,Friday,10,October,4,2023,1,0,
D301,,28,Saturday,10,October,4,2023,1,0,
D302,,29,Sunday,10,October,4,2023,1,0,
D303,,30,Monday,10,October,4,2023,0,0,
D304,,31,Tuesday,10,October,4,2023,0,0,
D305,,1,Wednesday,11,November,4,2023,0,0,
D306,,2,Thursday,11,November,4,2023,0,0,
D307,,3,Friday,11,November,4,2023,1,0,
D308,,4,Saturday,11,November,4,2023,1,0,
D309,,5,Sunday,11,November,4,2023,1,0,
D310,,6,Monday,11,November,4,2023,0,0,
D311,,7,Tuesday,11,November,4,2023,0,0,
D312,,8,Wednesday,11,November,4,2023,0,0,
D313,,9,Thursday,11,November,4,2023,0,0,
D314,,10,Friday,11,November,4,2023,1,0,
D315,,11,Saturday,11,November,4,2023,1,0,
D316,,12,Sunday,11,November,4,2023,1,0,
D317,,13,Monday,11,November,4,2023,0,0,
D318,,14,Tuesday,11,November,4,2023,0,0,
D319,,15,Wednesday,11,November,4,2023,0,0,
D320,,16,Thursday,11,November,4,2023,0,0,
D321,,17,Friday,11,November,4,2023,1,0,
D322,,18,Saturday,11,November,4,2023,1,0,
D323,,19,Sunday,11,November,4,2023,1,0,
D324,,20,Monday,11,November,4,2023,0,0,
D325,,21,Tuesday,11,November,4,2023,0,0,
D326,,22,Wednesday,11,November,4,2023,0,0,
D327,,23,Thursday,11,November,4,2023,0,0,
D328,,24,Friday,11,November,4,2023,1,0,
D329,,25,Saturday,11,November,4,2023,1,0,
D330,,26,Sunday,11,November,4,2023,1,0,
D331,,27,Monday,11,November,4,2023,0,0,
D332,,28,Tuesday,11,November,4,2023,0,0,
D333,,29,Wednesday,11,November,4,2023,0,0,
D334,,30,Thursday,11,November,4,2023,0,0,
D335,,1,Friday,12,December,4,2023,1,0,
D336,,2,Saturday,12,December,4,2023,1,0,
D337,,3,Sunday,12,December,4,2023,1,0,
D338,,4,Monday,12,December,4,2023,0,0,
D339,,5,Tuesday,12,December,4,2023,0,0,
D340,,6,Wednesday,12,December,4,2023,0,0,
D341,,7,Thursday,12,December,4,2023,0,0,
D342,,8,Friday,12,December,4,2023,1,0,
D343,,9,Saturday,12,December,4,2023,1,0,
D344,,10,Sunday,12,December,4,2023,1,0,
D345,,11,Monday,12,December,4,2023,0,0,
D346,,12,Tuesday,12,December,4,2023,0,0,
D347,,13,Wednesday,12,December,4,2023,0,0,
D348,,14,Thursday,12,December,4,2023,0,0,
D349,,15,Friday,12,December,4,2023,1,0,
D350,,16,Saturday,12,December,4,2023,1,0,
D351,,17,Sunday,12,December,4,2023,1,0,
D352,,18,Monday,12,December,4,2023,0,0,
D353,,19,Tuesday,12,December,4,2023,0,0,
D354,,20,Wednesday,12,December,4,2023,0,0,
D355,,21,Thursday,12,December,4,2023,0,0,
D356,,22,Friday,12,December,4,2023,1,0,
D357,,23,Saturday,12,December,4,2023,1,0,
D358,,24,Sunday,12,December,4,2023,1,0,
D359,,25,Monday,12,December,4,2023,0,1,Quaid Day
D360,,26,Tuesday,12,December,4,2023,0,0,
D361,,27,Wednesday,12,December,4,2023,0,0,
D362,,28,Thursday,12,December,4,2023,0,0,
D363,,29,Friday,12,December,4,2023,1,0,
D364,,30,Saturday,12,December,4,2023,1,0,
D365,,31,Sunday,12,December,4,2023,1,0,
